ID ЭВМ;Фирма-изготовитель;Тип процессора;Тактовая частота;Объем ОЗУ (ГБ);Объем жесткого диска (ГБ);Тип дискового накопителя;Дата выпуска;Фирма-реализатор;Адрес фирмы-реализатора;Телефон фирмы-реализатора
1;Apple;Intel Core i5;2,5;8;256;SSD;2018;"ООО ""Техника""";г. Тюмень, ул. Ленина, 10;7 (495) 123-4567
2;HP;AMD Ryzen 7;3,2;16;512;SSD;2020;"ООО ""МегаКомпьютеры""";г. Тюмень, ул. Мельникайте, 5;7 (812) 987-6543
3;Asus;Intel Core i7;2,8;16;1024;HDD;2019;"ИП ""Компик""";г. Тюмень, ул. Кирова, 15;7 (343) 555-1234
4;Dell;Intel Core i3 ;2;4;256;SSD;2017;ИП Новиков;г. Тюмень, ул. Гагарина, 20;7 (843) 222-3333
5;Lenovo;Intel Celeron;1,6;4;128;SSD;2016;"ООО ""Компьютерный мир""";г. Тюмень, ул. Широтная, 8;7 (844) 111-2222
6;Acer;AMD A6;2,6;8;512;SSD;2019;"ИП ""Электронный магазин""";г. Тюмень, ул. Пушкина, 12;7 (383) 999-8888
7;Apple;Intel Core i9;3,6;32;1024;SSD;2020;"ООО ""IT-Сервис""";г. Тюмень, ул. Республики, 25 ;7 (495) 111-2222
8;HP;AMD Ryzen 5;2,1;8;256;SSD;2018;"ООО ""ТехноПлюс""";г. Тюмень, ул. Дружбы, 30;7 (863) 555-9999 
9;Asus;Intel Core i7;2,5;16;512;SSD;2019;"ООО ""Техника""";г. Тюмень, ул. Ленина, 10;7 (495) 123-4567
10;Dell;Intel Core i5 ;3;8;1024;HDD;2017;"ООО ""Техно-Маркет""";г. Тюмень, ул. Холодильная, 28;7 (347) 123-4567 
11;Lenovo;Intel Pentium;2,4;4;256;SSD;2015;"ИП ""Компьютерный Салон""";г. Тюмень, ул. Минская, 12;7 (846) 333-1111
12;Apple;Intel Core i5;2;8;256;SSD;2020;"ООО ""Техника""";г. Тюмень, ул. Ленина, 10;7 (495) 123-4567
13;Dell;AMD Ryzen 7;3,6;16;512;SSD;2021;"ООО ""МегаКомпьютеры""";г. Тюмень, ул. Мельникайте, 5;7 (812) 987-6543
14;HP;Intel Core i7;2,8;16;1024;HDD;2019;"ИП ""Компик""";г. Тюмень, ул. Кирова, 15;7 (343) 555-1234
15;Lenovo;Intel Core i3;2,2;4;128;SSD;2020;ИП Новиков;г. Тюмень, ул. Гагарина, 20;7 (843) 222-3333
16;Asus;Intel Pentium;1,6;8;256;SSD;2018;"ООО ""Компьютерный мир""";г. Тюмень, ул. Широтная, 8;7 (844) 111-2222
17;Acer;Intel Core i5 ;2,4;12;512;SSD;2021;"ИП ""Электронный магазин""";г. Тюмень, ул. Пушкина, 12;7 (383) 999-8888
18;Lenovo;AMD Ryzen 3;2,9;8;256;SSD;2020;"ООО ""IT-Сервис""";г. Тюмень, ул. Республики, 25 ;7 (495) 111-2222
19;HP;Intel Core i7;3;16;1024;HDD;2021;"ООО ""ТехноПлюс""";г. Тюмень, ул. Дружбы, 30;7 (863) 555-9999 
20;Dell;Intel Core i3;2,2;8;512;SSD;2019;"ООО ""Техника""";г. Тюмень, ул. Ленина, 10;7 (495) 123-4567
21;Lenovo;AMD Ryzen 5;3,2;8;512;SSD;2021;"ООО ""Техно-Маркет""";г. Тюмень, ул. Холодильная, 28;7 (347) 123-4567 
22;Apple;Intel Core i7;2,6;16;1024;HDD;2020;"ИП ""Компьютерный Салон""";г. Тюмень, ул. Минская, 12;7 (846) 333-1111
23;Dell;AMD Ryzen 9;3,8;32;1024;SSD;2021;"ООО ""Техника""";г. Тюмень, ул. Ленина, 10;7 (495) 123-4567
24;HP;Intel Core i5;2,4;12;256;SSD;2020;"ООО ""МегаКомпьютеры""";г. Тюмень, ул. Мельникайте, 5;7 (812) 987-6543
25;Lenovo;Intel Core i3;2;4;256;SSD;2019;"ИП ""Компик""";г. Тюмень, ул. Кирова, 15;7 (343) 555-1234
26;Asus;AMD Ryzen 7;3,6;16;1024;HDD;2021;ИП Новиков;г. Тюмень, ул. Гагарина, 20;7 (843) 222-3333
27;Acer;Intel Core i5;2,2;8;512;SSD;2020;"ООО ""Компьютерный мир""";г. Тюмень, ул. Широтная, 8;7 (844) 111-2222
28;HP;Intel Core i3;2,2;8;512;SSD;2020;"ИП ""Электронный магазин""";г. Тюмень, ул. Пушкина, 12;7 (383) 999-8888
29;Dell;AMD Ryzen 5;3,2;16;1024;HDD;2021;"ООО ""IT-Сервис""";г. Тюмень, ул. Республики, 25 ;7 (495) 111-2222
30;Asus;Intel Core i5;2,4;12;256;SSD;2019;"ООО ""ТехноПлюс""";г. Тюмень, ул. Дружбы, 30;7 (863) 555-9999 
